Metric,Basis,Dimension,Log,Pearson Rho,Spearman Rho,Pearson P,Spearman P,n,N Pop,Delta Pearson Spearman,Shape,Preferred Correlation,RelCI 100,RelCI 500,RelCI 1000,Plateau n,Plateau Found,Plateau Reached,Timestamp
Deviation from Random,CT,Distance,BPIC12,0.1328983162,0.0937194222,0.0000248595,0.0030121735,1000,81728,0.0391788939,Linear,Pearson,0.06689546074908849,0.0449165759,0.02742355355148874,1100.0000000000,True,Y (1100),2026-04-27T10:15:26.834408
Deviation from Random,CT,Distance,RTFMP,-0.0007694562,-0.0404592247,0.9806117889,0.2011238407,1000,81728,0.0396897685,Linear,Pearson,0.10690401150141166,0.0842536255,0.06316201922560528,100.0000000000,True,Y (100),2026-04-27T10:15:26.838894
Deviation from Random,CT,Distance,MEAN,0.0660644300,0.0266300988,0.4903183242,0.1020680071,1000,81728,0.0394343312,,,0.08689973612525007,0.0645851007,0.045292786388547016,600.0000000000,2 / 2,2 / 2 (avg. 600),2026-04-27T10:15:26.910742
Average Edit Distance,CT,Distance,BPIC12,0.0302963964,0.0081950825,0.3385280829,0.7957652639,1000,81728,0.0221013139,Linear,Pearson,0.47846667697774187,0.3161457047,0.2156198250691078,100.0000000000,True,Y (100),2026-04-27T10:15:26.841715
Average Edit Distance,CT,Distance,RTFMP,0.0590697808,0.0457730637,0.0618674082,0.1480596772,1000,81728,0.0132967171,Linear,Pearson,0.5435906649693392,0.3435603207,0.28074245559567196,1100.0000000000,True,Y (1100),2026-04-27T10:15:26.845362
Average Edit Distance,CT,Distance,MEAN,0.0446830886,0.0269840731,0.2001977456,0.4719124706,1000,81728,0.0176990155,,,0.5110286709735405,0.3298530127,0.24818114033238986,600.0000000000,2 / 2,2 / 2 (avg. 600),2026-04-27T10:15:26.905934
Sequence Entropy,CT,Graph Entropy,BPIC12,0.9753949482,0.9769768556,0.0000000000,0.0000000000,1000,81728,0.0015819074,Linear,Pearson,0.6254984425382021,0.3905728494,0.3232445654003669,,False,N,2026-04-27T10:15:26.849230
Sequence Entropy,CT,Graph Entropy,RTFMP,0.8641887324,0.9056524906,0.0000000000,0.0000000000,1000,81728,0.0414637582,Linear,Pearson,0.8822521569322099,0.7638757970,0.853044186801639,,False,N,2026-04-27T10:15:26.853886
Sequence Entropy,CT,Graph Entropy,MEAN,0.9197918403,0.9413146731,0.0000000000,0.0000000000,1000,81728,0.0215228328,,,0.7538752997352061,0.5772243232,0.5881443761010029,,0 / 2,0 / 2,2026-04-27T10:15:26.943483
Normalized Sequence Entropy,CT,Graph Entropy,BPIC12,0.3159995161,0.2999701722,0.0000000000,0.0000000000,1000,81728,0.0160293440,Linear,Pearson,0.11051677657261422,0.0825423919,0.07083952958222076,2100.0000000000,True,Y (2100),2026-04-27T10:15:26.857844
Normalized Sequence Entropy,CT,Graph Entropy,RTFMP,-0.2651883403,-0.2459525751,0.0000000000,0.0000000000,1000,81728,0.0192357651,Linear,Pearson,0.875752192950318,0.8382576245,0.7774750424239585,2100.0000000000,True,Y (2100),2026-04-27T10:15:26.863354
Normalized Sequence Entropy,CT,Graph Entropy,MEAN,0.0254055879,0.0270087986,0.0000000000,0.0000000000,1000,81728,0.0176325545,,,0.49313448476146615,0.4604000082,0.4241572860030896,2100.0000000000,2 / 2,2 / 2 (avg. 2100),2026-04-27T10:15:26.922885
Variant Entropy,CT,Graph Entropy,BPIC12,0.9527945918,0.9557299462,0.0000000000,0.0000000000,1000,81728,0.0029353544,Linear,Pearson,0.7770740617567807,0.5519352559,0.41893078698339326,,False,N,2026-04-27T10:15:26.867259
Variant Entropy,CT,Graph Entropy,RTFMP,0.5841108394,0.6767875283,0.0000000000,0.0000000000,1000,81728,0.0926766889,Linear,Pearson,1.3474601696192616,1.2312879569,1.0330657284605154,6100.0000000000,True,Y (6100),2026-04-27T10:15:26.872347
Variant Entropy,CT,Graph Entropy,MEAN,0.7684527156,0.8162587372,0.0000000000,0.0000000000,1000,81728,0.0478060217,,,1.0622671156880212,0.8916116064,0.7259982577219544,,1 / 2,1 / 2,2026-04-27T10:15:26.946661
Normalized Variant Entropy,CT,Graph Entropy,BPIC12,0.8832978286,0.9249866276,0.0000000000,0.0000000000,1000,81728,0.0416887990,Linear,Pearson,0.10011270764249748,0.0559295846,0.03662158648914441,,False,N,2026-04-27T10:15:26.877306
Normalized Variant Entropy,CT,Graph Entropy,RTFMP,0.4013045293,0.3885267213,0.0000000000,0.0000000000,1000,81728,0.0127778080,Linear,Pearson,0.2872749836803674,0.1767723190,0.145700028073085,6100.0000000000,True,Y (6100),2026-04-27T10:15:26.881404
Normalized Variant Entropy,CT,Graph Entropy,MEAN,0.6423011789,0.6567566744,0.0000000000,0.0000000000,1000,81728,0.0272333035,,,0.19369384566143244,0.1163509518,0.0911608072811147,,1 / 2,1 / 2,2026-04-27T10:15:26.924701
