Metric,Sample Size,Mean Value,Median Value,Bootstrap CI Low,Bootstrap CI High,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Q05,Sample Q95,Empirical CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Estimated Number of Acyclic Paths,400,11.551332636623899,9.120108393559097,,,,,,,,,0.36111930636305817,3.634370858338556e-32,0.6473881619245807,7.461450400688192e-120,4100.0,True
Estimated Number of Acyclic Paths,500,16.22178813063265,10.964781961431852,,,4.36515832240166,57.543993733715695,3.2782351108934167,5.203928788492922,57.543993733715695,3.2265286985462254,0.36111930636305817,3.634370858338556e-32,0.6473881619245807,7.461450400688192e-120,4100.0,True
Estimated Number of Acyclic Paths,600,18.076571718898755,13.182567385564074,,,,,,,,,0.36111930636305817,3.634370858338556e-32,0.6473881619245807,7.461450400688192e-120,4100.0,True
Estimated Number of Acyclic Paths,700,22.466754994759935,13.182567385564074,,,,,,,,,0.36111930636305817,3.634370858338556e-32,0.6473881619245807,7.461450400688192e-120,4100.0,True
Estimated Number of Acyclic Paths,800,21.51362570327376,15.848931924611133,,,,,,,,,0.36111930636305817,3.634370858338556e-32,0.6473881619245807,7.461450400688192e-120,4100.0,True
Estimated Number of Acyclic Paths,900,22.613476317045958,15.848931924611133,,,,,,,,,0.36111930636305817,3.634370858338556e-32,0.6473881619245807,7.461450400688192e-120,4100.0,True
Estimated Number of Acyclic Paths,1000,26.726455907788317,22.90867652767773,,,6.915769539909641,69.18309709189366,2.329801144110499,9.120108393559097,69.18309709189366,2.247323360252629,0.36111930636305817,3.634370858338556e-32,0.6473881619245807,7.461450400688192e-120,4100.0,True
Lempel-Ziv Complexity,100,133.71,128.5,,,113.47500000000001,164.62499999999994,0.382544312317702,115.0,158.14999999999998,0.3227133348291076,0.9672313582921949,0.0,0.9699353723130664,0.0,,False
Lempel-Ziv Complexity,200,231.44,238.5,,,,,,,,,0.9672313582921949,0.0,0.9699353723130664,0.0,,False
Lempel-Ziv Complexity,300,313.58,324.0,,,,,,,,,0.9672313582921949,0.0,0.9699353723130664,0.0,,False
Lempel-Ziv Complexity,400,392.77,400.0,,,,,,,,,0.9672313582921949,0.0,0.9699353723130664,0.0,,False
Lempel-Ziv Complexity,500,469.09,470.5,,,357.95,588.1749999999997,0.49079067982689834,376.45,530.0,0.32733590568973975,0.9672313582921949,0.0,0.9699353723130664,0.0,,False
Lempel-Ziv Complexity,600,533.95,538.5,,,,,,,,,0.9672313582921949,0.0,0.9699353723130664,0.0,,False
Lempel-Ziv Complexity,700,600.85,599.0,,,,,,,,,0.9672313582921949,0.0,0.9699353723130664,0.0,,False
