Metric,Sample Size,Mean Value,Median Value,Bootstrap CI Low,Bootstrap CI High,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Q05,Sample Q95,Empirical CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Number of Distinct Activities,300,23.07,23.0,,,,,,,,,0.4306767590092984,2.020901026300932e-46,0.4207726655458127,3.5291480443785997e-44,4100.0,True
Number of Distinct Activities,400,23.19,23.0,,,,,,,,,0.4306767590092984,2.020901026300932e-46,0.4207726655458127,3.5291480443785997e-44,4100.0,True
Number of Distinct Activities,500,23.15,23.0,,,23.0,24.0,0.04319654427645789,23.0,24.0,0.04319654427645789,0.4306767590092984,2.020901026300932e-46,0.4207726655458127,3.5291480443785997e-44,4100.0,True
Number of Distinct Activities,600,23.17,23.0,,,,,,,,,0.4306767590092984,2.020901026300932e-46,0.4207726655458127,3.5291480443785997e-44,4100.0,True
Number of Distinct Activities,700,23.29,23.0,,,,,,,,,0.4306767590092984,2.020901026300932e-46,0.4207726655458127,3.5291480443785997e-44,4100.0,True
Number of Distinct Activities,800,23.39,23.0,,,,,,,,,0.4306767590092984,2.020901026300932e-46,0.4207726655458127,3.5291480443785997e-44,4100.0,True
Number of Distinct Activities,900,23.36,23.0,,,,,,,,,0.4306767590092984,2.020901026300932e-46,0.4207726655458127,3.5291480443785997e-44,4100.0,True
Number of Distinct Activities,1000,23.39,23.0,,,23.0,24.0,0.04275331338178709,23.0,24.0,0.04275331338178709,0.4306767590092984,2.020901026300932e-46,0.4207726655458127,3.5291480443785997e-44,4100.0,True
Number of Distinct Directly-Follows Relations,100,82.74,84.0,,,68.95,92.52499999999999,0.2849286922890983,72.95,91.0,0.218153251148175,0.8267237191137802,1.5498355815814137e-251,0.8446790424004111,3.923609347698818e-273,8100.0,True
Number of Distinct Directly-Follows Relations,200,92.81,93.0,,,,,,,,,0.8267237191137802,1.5498355815814137e-251,0.8446790424004111,3.923609347698818e-273,8100.0,True
Number of Distinct Directly-Follows Relations,300,97.44,97.0,,,,,,,,,0.8267237191137802,1.5498355815814137e-251,0.8446790424004111,3.923609347698818e-273,8100.0,True
Number of Distinct Directly-Follows Relations,400,100.99,101.0,,,,,,,,,0.8267237191137802,1.5498355815814137e-251,0.8446790424004111,3.923609347698818e-273,8100.0,True
Number of Distinct Directly-Follows Relations,500,103.19,103.0,,,95.47500000000001,109.52499999999999,0.13615660432212406,96.0,109.0,0.12598119972865587,0.8267237191137802,1.5498355815814137e-251,0.8446790424004111,3.923609347698818e-273,8100.0,True
Number of Distinct Directly-Follows Relations,600,105.79,106.0,,,,,,,,,0.8267237191137802,1.5498355815814137e-251,0.8446790424004111,3.923609347698818e-273,8100.0,True
Number of Distinct Directly-Follows Relations,700,107.4,108.5,,,,,,,,,0.8267237191137802,1.5498355815814137e-251,0.8446790424004111,3.923609347698818e-273,8100.0,True
Number of Distinct Directly-Follows Relations,800,109.22,110.0,,,,,,,,,0.8267237191137802,1.5498355815814137e-251,0.8446790424004111,3.923609347698818e-273,8100.0,True
Number of Distinct Directly-Follows Relations,900,109.1,110.0,,,,,,,,,0.8267237191137802,1.5498355815814137e-251,0.8446790424004111,3.923609347698818e-273,8100.0,True
Number of Distinct Directly-Follows Relations,1000,109.78,111.0,,,103.0,116.0,0.11841865549280378,103.0,115.0,0.1093095281472035,0.8267237191137802,1.5498355815814137e-251,0.8446790424004111,3.923609347698818e-273,8100.0,True
