Metric,Sample Size,Mean Value,Sample CI Low,Sample CI High,Sample CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Max. Trace Length,300,8.528,6.0,14.0,0.9380863039399624,0.3453198852624165,5.076721091638471e-140,0.38409728643650076,1.712918082144113e-175,,False
Max. Trace Length,350,8.756,6.0,14.524999999999977,0.9736180904522587,0.3453198852624165,5.076721091638471e-140,0.38409728643650076,1.712918082144113e-175,,False
Max. Trace Length,400,8.798,6.0,12.0,0.681973175721755,0.3453198852624165,5.076721091638471e-140,0.38409728643650076,1.712918082144113e-175,,False
Max. Trace Length,450,8.952,6.0,14.524999999999977,0.9523011617515613,0.3453198852624165,5.076721091638471e-140,0.38409728643650076,1.712918082144113e-175,,False
Max. Trace Length,500,9.202,6.0,15.0,0.9780482503803521,0.3453198852624165,5.076721091638471e-140,0.38409728643650076,1.712918082144113e-175,,False
Min. Trace Length,50,2.014,2.0,2.0,0.0,-0.050794966455148055,0.0003266818392871693,-0.053385073146733714,0.00015895567332270297,50.0,True
Min. Trace Length,100,2.022,2.0,2.0,0.0,-0.050794966455148055,0.0003266818392871693,-0.053385073146733714,0.00015895567332270297,50.0,True
Min. Trace Length,150,2.012,2.0,2.0,0.0,-0.050794966455148055,0.0003266818392871693,-0.053385073146733714,0.00015895567332270297,50.0,True
Min. Trace Length,200,2.0,2.0,2.0,0.0,-0.050794966455148055,0.0003266818392871693,-0.053385073146733714,0.00015895567332270297,50.0,True
Min. Trace Length,250,2.0,2.0,2.0,0.0,-0.050794966455148055,0.0003266818392871693,-0.053385073146733714,0.00015895567332270297,50.0,True
Min. Trace Length,300,2.0,2.0,2.0,0.0,-0.050794966455148055,0.0003266818392871693,-0.053385073146733714,0.00015895567332270297,50.0,True
Min. Trace Length,350,2.0,2.0,2.0,0.0,-0.050794966455148055,0.0003266818392871693,-0.053385073146733714,0.00015895567332270297,50.0,True
Min. Trace Length,400,2.0,2.0,2.0,0.0,-0.050794966455148055,0.0003266818392871693,-0.053385073146733714,0.00015895567332270297,50.0,True
Min. Trace Length,450,2.0,2.0,2.0,0.0,-0.050794966455148055,0.0003266818392871693,-0.053385073146733714,0.00015895567332270297,50.0,True
Min. Trace Length,500,2.0,2.0,2.0,0.0,-0.050794966455148055,0.0003266818392871693,-0.053385073146733714,0.00015895567332270297,50.0,True
Normalized Sequence Entropy,50,0.15781499079425726,0.07273992950209364,0.24739625610794042,1.1067156911192646,-0.3033765440692215,6.047888278493414e-107,-0.2735257425809685,1.652421751803694e-86,450.0,True
Normalized Sequence Entropy,100,0.14186259289551306,0.07060672725672451,0.22588074835318184,1.0945381578554838,-0.3033765440692215,6.047888278493414e-107,-0.2735257425809685,1.652421751803694e-86,450.0,True
Normalized Sequence Entropy,150,0.13405691226316155,0.0684887113437866,0.21169248191052267,1.0682311575670091,-0.3033765440692215,6.047888278493414e-107,-0.2735257425809685,1.652421751803694e-86,450.0,True
Normalized Sequence Entropy,200,0.13242508366797415,0.0716198452362038,0.19699821270081377,0.9467871493211044,-0.3033765440692215,6.047888278493414e-107,-0.2735257425809685,1.652421751803694e-86,450.0,True
Normalized Sequence Entropy,250,0.12511323300898014,0.07304998047079882,0.18949178636631836,0.9306913672925533,-0.3033765440692215,6.047888278493414e-107,-0.2735257425809685,1.652421751803694e-86,450.0,True
Normalized Sequence Entropy,300,0.12354750072704106,0.06912103742195394,0.18731963587631456,0.9567057023314619,-0.3033765440692215,6.047888278493414e-107,-0.2735257425809685,1.652421751803694e-86,450.0,True
Normalized Sequence Entropy,350,0.12008538816365641,0.0679519558982993,0.18480069046626707,0.9730470655490773,-0.3033765440692215,6.047888278493414e-107,-0.2735257425809685,1.652421751803694e-86,450.0,True
Normalized Sequence Entropy,400,0.11893978213855275,0.0679273507740393,0.18340553810225796,0.9708962405337039,-0.3033765440692215,6.047888278493414e-107,-0.2735257425809685,1.652421751803694e-86,450.0,True
Normalized Sequence Entropy,450,0.11702959865724594,0.06799880786436538,0.17517684765889888,0.9158199380691248,-0.3033765440692215,6.047888278493414e-107,-0.2735257425809685,1.652421751803694e-86,450.0,True
Normalized Sequence Entropy,500,0.11586719307549048,0.06870451938737623,0.17456096076046257,0.9136014998146897,-0.3033765440692215,6.047888278493414e-107,-0.2735257425809685,1.652421751803694e-86,450.0,True
Normalized Variant Entropy,50,0.5542437685997983,0.404387806919283,0.6639097655573918,0.46824515374118947,0.4077149863538755,1.3626323029672558e-199,0.38416711887459626,1.4633651575838578e-175,250.0,True
Normalized Variant Entropy,100,0.5854688418811294,0.4616367890141859,0.6686199763707992,0.35353407824670896,0.4077149863538755,1.3626323029672558e-199,0.38416711887459626,1.4633651575838578e-175,250.0,True
